Region,Year,CrimeRate,EducationRate,CrimeInfo,EducationInfo,Gender
"Total, all countries or areas",2005,6.2935,139578.2491,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
"Total, all countries or areas",2005,6.2935,509254.2941,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
"Total, all countries or areas",2005,6.2935,678920.8179,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
"Total, all countries or areas",2005,10.0798,23.7645,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
"Total, all countries or areas",2005,10.0798,65.7811,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
"Total, all countries or areas",2005,10.0798,104.5005,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
"Total, all countries or areas",2005,2.4473,24.9429,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
"Total, all countries or areas",2005,2.4473,62.3132,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
"Total, all countries or areas",2005,2.4473,99.731,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
"Total, all countries or areas",2010,6.0228,182257.6784,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
"Total, all countries or areas",2010,6.0228,546192.2096,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
"Total, all countries or areas",2010,6.0228,697001.1514,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
"Total, all countries or areas",2010,9.5954,28.4958,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
"Total, all countries or areas",2010,9.5954,72.1982,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
"Total, all countries or areas",2010,9.5954,104.4358,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
"Total, all countries or areas",2010,2.3892,30.6914,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
"Total, all countries or areas",2010,2.3892,69.8407,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
"Total, all countries or areas",2010,2.3892,101.7763,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Northern America,2005,5.3214,18244.8834,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Northern America,2005,5.3214,27033.2121,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Northern America,2005,5.3214,26759.2695,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Northern America,2005,8.4562,65.581,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Northern America,2005,8.4562,94.9505,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Northern America,2005,8.4562,101.9909,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Northern America,2005,2.2562,92.9434,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Northern America,2005,2.2562,96.3345,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Northern America,2005,2.2562,100.915,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Northern America,2010,4.456,21859.147,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Northern America,2010,4.456,26808.823,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Northern America,2010,4.456,26565.497,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Northern America,2010,6.9798,75.2445,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Northern America,2010,6.9798,95.1493,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Northern America,2010,6.9798,100.6236,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Northern America,2010,1.9993,104.7904,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Northern America,2010,1.9993,95.928,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Northern America,2010,1.9993,99.7427,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Eastern Asia,2005,1.4588,28737.2895,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Eastern Asia,2005,1.4588,115222.1782,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Eastern Asia,2005,1.4588,126354.7561,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Eastern Asia,2005,1.629,25.3612,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Eastern Asia,2005,1.629,70.4568,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
Eastern Asia,2005,1.629,103.4445,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Primary (male),M
Eastern Asia,2005,1.2987,21.8182,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Tertiary (female),F
Eastern Asia,2005,1.2987,69.1613,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Secondary (female),F
Eastern Asia,2005,1.2987,103.1627,"Percentage of male and female intentional homicide victims, Female",Gross enrollment ratio - Primary (female),F
Eastern Asia,2010,0.9375,39209.0747,"Intentional homicide rates per 100,000",Students enrolled in tertiary education (thousands),Combined
Eastern Asia,2010,0.9375,113530.4127,"Intentional homicide rates per 100,000",Students enrolled in secondary education (thousands),Combined
Eastern Asia,2010,0.9375,113597.0893,"Intentional homicide rates per 100,000",Students enrolled in primary education (thousands),Combined
Eastern Asia,2010,0.975,27.8057,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Tertiary (male),M
Eastern Asia,2010,0.975,89.313,"Percentage of male and female intentional homicide victims, Male",Gross enrollment ratio - Secondary (male),M
