,Region,Year,Series_x,Value_x,Series_y,Value_y
1,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.2935,Gross enrollment ratio - Primary (male),104.5005
2,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.2935,Gross enrollment ratio - Primary (female),99.731
4,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.2935,Gross enrollment ratio - Secondary (male),65.7811
5,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.2935,Gross enrollment ratio - Secondary (female),62.3132
7,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.2935,Gross enrollment ratio - Tertiary (male),23.7645
8,"Total, all countries or areas",2005,"Intentional homicide rates per 100,000",6.2935,Gross enrollment ratio - Tertiary (female),24.9429
10,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.0798,Gross enrollment ratio - Primary (male),104.5005
11,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.0798,Gross enrollment ratio - Primary (female),99.731
13,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.0798,Gross enrollment ratio - Secondary (male),65.7811
14,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.0798,Gross enrollment ratio - Secondary (female),62.3132
16,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.0798,Gross enrollment ratio - Tertiary (male),23.7645
17,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Male",10.0798,Gross enrollment ratio - Tertiary (female),24.9429
19,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.4473,Gross enrollment ratio - Primary (male),104.5005
20,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.4473,Gross enrollment ratio - Primary (female),99.731
22,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.4473,Gross enrollment ratio - Secondary (male),65.7811
23,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.4473,Gross enrollment ratio - Secondary (female),62.3132
25,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.4473,Gross enrollment ratio - Tertiary (male),23.7645
26,"Total, all countries or areas",2005,"Percentage of male and female intentional homicide victims, Female",2.4473,Gross enrollment ratio - Tertiary (female),24.9429
28,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.0228,Gross enrollment ratio - Primary (male),104.4358
29,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.0228,Gross enrollment ratio - Primary (female),101.7763
31,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.0228,Gross enrollment ratio - Secondary (male),72.1982
32,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.0228,Gross enrollment ratio - Secondary (female),69.8407
34,"Total, all countries or areas",2010,"Intentional homicide rates per 100,000",6.0228,Gross enrollment ratio - Tertiary (male),28.4958
